,country_name,meanR_2020,meanR_2021,panback_2020,panback_2021
0,Afghanistan,1.106366906,1.004136986,0.77,8.84
1,Albania,1.099717314,1.017315068,-0.54,-0.69
2,Algeria,1.081122807,0.999863014,0.26,2.48
3,Angola,1.088676471,1.083178082,-0.75,-0.04
4,Argentina,1.163111888,1.032164384,3.24,3.92
5,Armenia,1.098606272,0.983041096,0.41,0.69
6,Australia,1.046621622,1.142575342,-0.31,0.47
7,Austria,1.136486486,1.015178082,1.28,0.32
8,Azerbaijan,1.127678571,0.999917808,-0.67,-1.2
9,Bahrain,1.07875,1.016438356,-3.92,-3.92
10,Bangladesh,1.121375465,0.986739726,0.86,0.59
11,Barbados,0.832485549,1.067616438,-0.4,-0.4
12,Belarus,1.136847826,0.995315068,12.98,15.62
13,Belgium,1.157033333,1.090986301,0.97,1.82
14,Benin,0.990252101,0.549178082,3.25,3.25
15,Bhutan,0.868051948,0.731589041,-0.42,0.11
16,Bolivia,1.117054545,1.061260274,5.16,-1.57
17,Bosnia and Herzegovina,1.133133803,1.055835616,0.98,1.89
18,Botswana,0.948972973,1.134136986,1.24,0.19
19,Brazil,1.215426621,0.989479452,4.73,5.55
20,Bulgaria,1.12465035,1.034931507,-0.35,-0.83
21,Burkina Faso,1.040390071,0.765726027,2.53,1.96
22,Burundi,0.80540404,1.015616438,-2.97,-1.38
23,Cambodia,0.368050542,1.000356164,1.39,1.39
24,Cameroon,1.001696751,0.459917808,-1.0,-1.6
25,Canada,1.158691275,1.037068493,-0.98,-1.56
26,Cape Verde,1.048473896,1.06939726,-0.17,-0.17
27,Central African Republic,0.647299578,0.407671233,-0.29,-1.42
28,Chad,0.970288066,0.730356164,-0.83,-0.11
29,Chile,1.145223368,0.996520548,3.36,3.36
30,China,1.023837209,1.022082192,0.71,1.13
31,Colombia,1.178194444,0.987945205,5.07,5.14
32,Comoros,0.752186047,0.909287671,1.1,0.18
33,Costa Rica,1.128701754,1.02509589,0.14,0.14
34,Croatia,1.148675958,1.036109589,4.39,1.35
35,Cuba,1.080935252,1.011671233,1.2,3.2
36,Cyprus,1.136985816,1.057972603,0.68,0.74
37,Denmark,1.13,1.049589041,3.78,2.29
38,Djibouti,0.98906367,0.994794521,0.4,0.4
39,Dominican Republic,1.121894737,1.010493151,-1.5,-1.5
40,Ecuador,1.131631944,1.036739726,0.09,0.1
41,Egypt,1.109657534,1.001726027,-1.17,-1.15
42,El Salvador,1.088383459,0.785287671,5.29,6.09
43,Equatorial Guinea,0.521713147,0.857013699,0.14,0.22
44,Eritrea,0.566582915,1.073890411,-0.57,-0.7
45,Estonia,1.107773973,1.020246575,1.2,-0.26
46,Eswatini,1.102,0.967780822,-0.01,3.16
47,Ethiopia,1.081439689,1.055369863,0.9,0.96
48,Finland,1.082305085,1.059945205,1.25,1.25
49,France,1.212189542,1.068739726,1.65,1.65
50,Gabon,1.100736434,1.140657534,4.97,4.97
51,Georgia,1.152463768,1.016657534,0.96,3.09
52,Germany,1.191934426,1.024438356,0.52,0.52
53,Ghana,1.176357143,1.067726027,-0.71,1.62
54,Greece,1.072662116,1.067041096,1.01,1.17
55,Guatemala,1.114490566,1.027726027,1.02,-0.05
56,Guinea,1.071697417,0.991260274,5.51,6.68
57,Guinea-Bissau,0.56195122,0.849945205,-1.4,-3.84
58,Guyana,0.995106383,1.063835616,0.07,2.25
59,Haiti,1.099414226,1.029424658,-0.84,-0.41
60,Honduras,1.137870036,0.949534247,0.04,-0.62
61,Hungary,1.148105263,1.079013699,2.55,1.1
62,Iceland,0.973945578,0.989315068,1.65,1.65
63,India,1.195890411,0.996986301,2.43,0.41
64,Indonesia,1.154089347,0.937863014,1.38,1.91
65,Iran,1.150582524,0.979972603,0.01,0.21
66,Iraq,1.116313993,0.982657534,2.02,1.46
67,Ireland,1.141780822,1.048465753,-1.19,-0.32
68,Israel,1.173617747,1.025534247,-3.24,-2.9
69,Italy,1.174679487,1.035616438,3.94,4.09
70,Jamaica,1.081115385,1.043917808,-0.78,0.19
71,Japan,1.135127389,0.966712329,1.18,1.18
72,Jordan,1.137359155,1.009589041,0.65,0.16
73,Kazakhstan,1.081,0.991671233,-1.49,-1.68
74,Kenya,1.087802198,1.066164384,-2.03,-1.89
75,Kosovo,1.127018182,0.965479452,0.09,0.03
76,Kuwait,1.089863014,1.010191781,-1.29,-2.03
77,Kyrgyzstan,1.062218182,0.995315068,4.28,3.88
78,Latvia,1.134020979,1.015726027,-0.19,-0.19
79,Lebanon,1.15467354,1.014191781,-0.68,0.68
80,Lesotho,1.079485714,0.688027397,-2.57,-0.64
81,Liberia,0.819209486,0.589616438,-2.46,-2.46
82,Libya,1.137695853,1.02460274,0.29,0.4
83,Lithuania,1.117758007,1.002931507,1.53,2.65
84,Luxembourg,1.12799308,1.09430137,3.6,2.8
85,Madagascar,0.882045455,0.609808219,1.17,1.62
86,Malawi,1.099727273,1.090191781,-1.49,-1.48
87,Malaysia,1.159124579,1.015643836,0.97,1.14
88,Maldives,1.050198413,1.047616438,-6.99,-5.97
89,Mali,1.083041825,1.052821918,-2.62,-2.85
90,Malta,0.959646643,1.069589041,0.16,-0.33
91,Mauritania,1.104070796,1.009150685,-2.68,-0.17
92,Mauritius,0.255090253,0.835068493,3.51,5.27
93,Mexico,1.172222222,1.020219178,1.49,3.03
94,Moldova,1.113498233,1.002,0.83,-1.03
95,Mongolia,0.615021834,1.095753425,2.26,2.26
96,Montenegro,0.900218182,1.023835616,6.36,3.87
97,Morocco,1.139612676,1.002657534,1.06,1.06
98,Mozambique,1.097905983,1.097315068,-0.67,0.39
99,Namibia,1.144708995,0.990630137,-0.18,-0.18
100,Nepal,1.15289916,0.991315068,0.31,1.55
101,Netherlands,1.161993355,1.019205479,1.28,2.42
102,New Zealand,0.859295775,1.029452055,1.81,3.06
103,Nicaragua,1.105892857,1.293753425,0.06,1.77
104,Niger,0.939522059,1.002273973,0.38,0.28
105,Nigeria,1.115595668,1.012657534,-0.34,1.91
106,North Macedonia,1.099190141,1.018136986,-0.38,-0.45
107,Norway,1.1186,1.054054795,5.67,5.67
108,Oman,1.131035714,1.069205479,0.18,0.09
109,Pakistan,1.136701031,0.97860274,1.39,0.78
110,Panama,1.142404181,1.005643836,0.35,-1.45
111,Papua New Guinea,0.704635762,0.840054795,-1.55,-0.42
112,Paraguay,1.154317343,0.957452055,2.21,2.21
113,Peru,1.170311419,1.066164384,1.89,2.82
114,Philippines,1.126712329,1.004356164,1.68,2.52
115,Poland,1.170513699,1.021205479,0.53,0.6
116,Portugal,1.165085324,1.033150685,2.04,4.03
117,Qatar,1.048847458,1.019616438,0.39,4.11
118,Romania,1.145273973,0.986657534,2.15,1.02
119,Russia,1.192076125,0.997780822,0.32,0.88
120,Rwanda,1.081291513,1.062164384,0.87,2.67
121,Sao Tome and Principe,0.590416667,0.882767123,-0.0,-0.0
122,Saudi Arabia,1.07390411,1.016136986,-0.5,-0.84
123,Senegal,1.075392857,1.016219178,-0.43,-1.12
124,Serbia,1.155923345,0.996520548,0.68,0.97
125,Seychelles,0.247643678,1.049671233,-1.89,-1.89
126,Sierra Leone,1.031255061,0.767013699,2.21,1.97
127,Singapore,1.029901961,1.080575342,-0.93,0.53
128,Slovakia,1.184250871,1.00909589,0.64,-0.12
129,Slovenia,1.140375427,1.02060274,4.88,5.11
130,Somalia,0.739069767,0.862657534,1.24,1.24
131,South Africa,1.176701389,0.982657534,1.37,1.37
132,South Korea,1.126730159,1.03539726,1.74,0.29
133,South Sudan,0.893037975,0.901671233,-1.82,-3.91
134,Spain,1.227532895,1.124356164,3.16,2.95
135,Sri Lanka,1.050851064,1.013369863,4.87,5.85
136,Sudan,1.127480315,0.77630137,-6.13,-2.8
137,Suriname,1.054326923,1.048328767,0.25,-0.43
138,Sweden,1.243066667,1.126575342,-0.12,-0.12
139,Switzerland,1.192923588,1.108986301,1.42,0.51
140,Syria,1.071363636,0.99709589,0.2,0.22
141,Taiwan,0.7271875,1.03890411,1.21,1.21
142,Tajikistan,1.028755187,0.281260274,0.26,0.13
143,Tanzania,0.047403101,0.070027397,1.73,-0.28
144,Thailand,1.018865979,1.074575342,3.64,3.32
145,Togo,1.050243902,1.084739726,-0.1,-0.1
146,Trinidad and Tobago,0.751107011,1.09509589,0.49,-0.06
147,Tunisia,1.119858156,0.981506849,-0.27,0.66
148,Turkey,1.161498258,1.007479452,-0.65,-0.77
149,Uganda,1.142217573,0.978931507,1.76,3.61
150,Ukraine,1.160854093,1.004109589,-1.17,-0.93
151,United Arab Emirates,1.124375,1.011534247,0.26,0.84
152,United Kingdom,1.193059211,1.031643836,3.12,4.23
153,Uruguay,1.101958042,1.026410959,0.23,3.76
154,Uzbekistan,1.064784173,1.021315068,-2.97,-3.31
155,Venezuela,1.10125,1.028410959,0.39,-1.72
156,Vietnam,0.77334507,1.157287671,0.32,1.84
157,Yemen,0.800217391,1.051808219,-0.49,-1.75
158,Zambia,0.975306122,1.072465753,0.0,-1.32
159,Zimbabwe,1.148256881,1.084438356,1.27,2.21
